t (s)	x (m)	y (m)
18,96	44,55885568	10,374368
18,98	44,67681396	10,377192
19,00	44,795	10,38
19,02	44,91341404	10,382792
19,04	45,03205632	10,385568
19,06	45,15092708	10,388328
19,08	45,27002656	10,391072
19,10	45,389355	10,3938
19,12	45,50891264	10,396512
19,14	45,62869972	10,399208
19,16	45,74871648	10,401888
19,18	45,86896316	10,404552
19,20	45,98944	10,4072
19,22	46,11014724	10,409832
19,24	46,23108512	10,412448
19,26	46,35225388	10,415048
19,28	46,47365376	10,417632
19,30	46,595285	10,4202
19,32	46,71714784	10,422752
19,34	46,83924252	10,425288
19,36	46,96156928	10,427808
19,38	47,08412836	10,430312
19,40	47,20692	10,4328
19,42	47,32994444	10,435272
19,44	47,45320192	10,437728
19,46	47,57669268	10,440168
19,48	47,70041696	10,442592
19,50	47,824375	10,445
19,52	47,94856704	10,447392
19,54	48,07299332	10,449768
19,56	48,19765408	10,452128
19,58	48,32254956	10,454472
19,60	48,44768	10,4568
19,62	48,57304564	10,459112
19,64	48,69864672	10,461408
19,66	48,82448348	10,463688
19,68	48,95055616	10,465952
19,70	49,076865	10,4682
19,72	49,20341024	10,470432
19,74	49,33019212	10,472648
19,76	49,45721088	10,474848
19,78	49,58446676	10,477032
19,80	49,71196	10,4792
19,82	49,83969084	10,481352
19,84	49,96765952	10,483488
19,86	50,09586628	10,485608
19,88	50,22431136	10,487712
19,90	50,352995	10,4898
19,92	50,48191744	10,491872
19,94	50,61107892	10,493928
19,96	50,74047968	10,495968
19,98	50,87011996	10,497992
20,00	51	10,5
